# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d008107	Carcinoma, Hepatocellular	MESH:D006528	PKMYT1	9088	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	PKP1	5317	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	PLAC8	51316	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	PLK1	5347	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	PLVAP	83483	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	PLXDC1	57125	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	PNPT1	87178	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	PPARG	5468	Cancer|Digestive system disease	Cancer|Digestive system disease	therapeutic		16374840
d008107	Carcinoma, Hepatocellular	MESH:D006528	PPP1R1A	5502	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		15010824
d008107	Carcinoma, Hepatocellular	MESH:D006528	PPP4R3C	139420	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	PRC1	9055	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	PRDX1	5052	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		27517622
d008107	Carcinoma, Hepatocellular	MESH:D006528	PRDX2	7001	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	PRDX6	9588	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	PTEN	5728	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		27022031
d008107	Carcinoma, Hepatocellular	MESH:D006528	PTGS2	5743	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		11872629|12024111|14563831|16374840|17510421
d008107	Carcinoma, Hepatocellular	MESH:D006528	PTH1R	5745	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	PTK2	5747	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		14578863
d008107	Carcinoma, Hepatocellular	MESH:D006528	PTTG1	9232	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	PYCARD	29108	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		17471463
d008107	Carcinoma, Hepatocellular	MESH:D006528	PYGL	5836	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		2885971
d008107	Carcinoma, Hepatocellular	MESH:D006528	PZP	5858	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	RAC1	5879	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18506888
d008107	Carcinoma, Hepatocellular	MESH:D006528	RACGAP1	29127	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	RAD54L	8438	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	RARA	5914	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18026104
d008107	Carcinoma, Hepatocellular	MESH:D006528	RB1	5925	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		12029619|14961299
d008107	Carcinoma, Hepatocellular	MESH:D006528	RBMY	19657	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		22073224
d008107	Carcinoma, Hepatocellular	MESH:D006528	RCAN1	1827	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	RND3	390	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	RNF157	114804	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ROBO1	6091	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	RPS6	6194	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21147110
d008107	Carcinoma, Hepatocellular	MESH:D006528	RPS6KA3	6197	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		22561517
d008107	Carcinoma, Hepatocellular	MESH:D006528	RRM1	6240	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18230555
d008107	Carcinoma, Hepatocellular	MESH:D006528	RRM2	6241	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18230555|28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	RSPO3	84870	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	RTP3	83597	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		17693185
d008107	Carcinoma, Hepatocellular	MESH:D006528	RUNX3	864	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28458013
d008107	Carcinoma, Hepatocellular	MESH:D006528	SCAP	22937	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		14563831
d008107	Carcinoma, Hepatocellular	MESH:D006528	SCD	6319	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21147110
d008107	Carcinoma, Hepatocellular	MESH:D006528	SERPINA1	5265	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284|6258829
d008107	Carcinoma, Hepatocellular	MESH:D006528	SERPINA4	5267	Cancer|Digestive system disease	Cancer|Digestive system disease	therapeutic		19709125
d008107	Carcinoma, Hepatocellular	MESH:D006528	SFN	2810	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	SFRP1	6422	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	SHH	6469	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		26189965
d008107	Carcinoma, Hepatocellular	MESH:D006528	SKA1	220134	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	SKA3	221150	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	SKP2	6502	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		12717389
d008107	Carcinoma, Hepatocellular	MESH:D006528	SLC22A1	6580	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	SLC22A10	387775	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560|30705370
d008107	Carcinoma, Hepatocellular	MESH:D006528	SLC25A47	283600	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	SLC26A6	65010	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	SLC2A1	6513	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		8364915
d008107	Carcinoma, Hepatocellular	MESH:D006528	SLC2A2	6514	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		8364915
d008107	Carcinoma, Hepatocellular	MESH:D006528	SLC5A5	6528	Cancer|Digestive system disease	Cancer|Digestive system disease	therapeutic		15347726|15520214
d008107	Carcinoma, Hepatocellular	MESH:D006528	SLIT2	9353	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		19100240
d008107	Carcinoma, Hepatocellular	MESH:D006528	SOCS2	8835	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	SOCS3	9021	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		16831601
d008107	Carcinoma, Hepatocellular	MESH:D006528	SOD2	6648	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		16767786|18760346|19731237|21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	SPC25	57405	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	SPRTN	83932	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		25261934
d008107	Carcinoma, Hepatocellular	MESH:D006528	SREBF1	6720	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		14563831|21147110
d008107	Carcinoma, Hepatocellular	MESH:D006528	SREBF2	6721	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21147110
d008107	Carcinoma, Hepatocellular	MESH:D006528	SRPX	8406	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	SSX1	6756	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	STAB2	55576	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	STAT1	6772	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		22488367
d008107	Carcinoma, Hepatocellular	MESH:D006528	STAT4	6775	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		23242368
d008107	Carcinoma, Hepatocellular	MESH:D006528	STMN1	3925	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TACC3	10460	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TAGLN2	8407	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	TALDO1	6888	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		19436114
d008107	Carcinoma, Hepatocellular	MESH:D006528	TATDN1	83940	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	TCF19	6941	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TCIM	56892	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TEDC2	80178	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TERT	7015	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		16651430|22634754|25362482|25822088
d008107	Carcinoma, Hepatocellular	MESH:D006528	TFPI2	7980	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		17464989|28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TGFA	7039	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		15565109|9029167
d008107	Carcinoma, Hepatocellular	MESH:D006528	TGFB1	7040	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		9029167
d008107	Carcinoma, Hepatocellular	MESH:D006528	TGM3	7053	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TH	7054	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	THEM4	117145	Cancer|Digestive system disease	Cancer|Digestive system disease	therapeutic		23392203
d008107	Carcinoma, Hepatocellular	MESH:D006528	THY1	7070	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TICRR	90381	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TIMD4	91937	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TK1	7083	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TLR4	7099	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		27022031
d008107	Carcinoma, Hepatocellular	MESH:D006528	TMEM70	54968	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		27914986
d008107	Carcinoma, Hepatocellular	MESH:D006528	TNF	7124	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		27022031
d008107	Carcinoma, Hepatocellular	MESH:D006528	TNFSF10	8743	Cancer|Digestive system disease	Cancer|Digestive system disease	therapeutic		17326159
d008107	Carcinoma, Hepatocellular	MESH:D006528	TONSL	4796	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TOP2A	7153	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TP53	7157	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism|therapeutic	114550	17191126|18477611|22675488|25822088|8033108|9029167
d008107	Carcinoma, Hepatocellular	MESH:D006528	TPX2	22974	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TRAIP	10293	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TRIM24	8805	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18026104
d008107	Carcinoma, Hepatocellular	MESH:D006528	TRIP13	9319	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TROAP	10024	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TRP53	22059	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		16651430|19919837
d008107	Carcinoma, Hepatocellular	MESH:D006528	TSC1	7248	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21499249
d008107	Carcinoma, Hepatocellular	MESH:D006528	TSLP	85480	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TST	7263	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	TTC36	143941	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TTK	7272	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	TYMS	7298	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18019677|18230555
d008107	Carcinoma, Hepatocellular	MESH:D006528	UBD	10537	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		19363144
d008107	Carcinoma, Hepatocellular	MESH:D006528	UBE2C	11065	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	UBE2E2	7325	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		27914986
d008107	Carcinoma, Hepatocellular	MESH:D006528	UBE2T	29089	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	UCHL1	7345	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18666234
d008107	Carcinoma, Hepatocellular	MESH:D006528	UHRF1	29128	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	UMPS	7372	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18230555
d008107	Carcinoma, Hepatocellular	MESH:D006528	UROC1	131669	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	USP2	9099	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21147110
d008107	Carcinoma, Hepatocellular	MESH:D006528	VASN	114990	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		25826090
d008107	Carcinoma, Hepatocellular	MESH:D006528	VCAM1	7412	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		22922871
d008107	Carcinoma, Hepatocellular	MESH:D006528	VIPR1	7433	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	VSIG4	11326	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	WDR62	284403	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	WDR76	79968	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	XAGE1B	653067	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	YAP1	10413	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		29698666
d008107	Carcinoma, Hepatocellular	MESH:D006528	YTHDF2	51441	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28104805
d008107	Carcinoma, Hepatocellular	MESH:D006528	ZFP36	7538	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ZIC2	7546	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ZIC4	84107	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ZIC5	85416	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ZNF23	7571	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21965783
d008107	Carcinoma, Hepatocellular	MESH:D006528	ZWINT	11130	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carnitine Palmitoyltransferase II Deficiency, Infantile	MESH:C563462	CPT2	1376	Digestive system disease|Genetic disease (inborn)|Metabolic disease	Digestive system disease|Genetic disease (inborn)|Metabolic disease	marker/mechanism	600649	
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	AASS	10157	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ABCB1	5243	Digestive system disease	Digestive system disease	marker/mechanism		20623750
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ABCB1A	18671	Digestive system disease	Digestive system disease	marker/mechanism		26134275
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ABCB1B	18669	Digestive system disease	Digestive system disease	marker/mechanism		27193730
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ABCC1	4363	Digestive system disease	Digestive system disease	marker/mechanism		18466103
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ABCC2	1244	Digestive system disease	Digestive system disease	marker/mechanism		18381794|18466103
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ABI1	10006	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ACOX3	8310	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ACSL1	2180	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ACTB	60	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ACTN4	81	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ACTR3	10096	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ADAM8	101	Digestive system disease	Digestive system disease	marker/mechanism		24646716
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ADIPOQ	9370	Digestive system disease	Digestive system disease	therapeutic		20709802
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	AGT	183	Digestive system disease	Digestive system disease	marker/mechanism		29499335
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	AHR	196	Digestive system disease	Digestive system disease	marker/mechanism		21890736
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	AIFM1	9131	Digestive system disease	Digestive system disease	marker/mechanism		25743375
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ALB	213	Digestive system disease	Digestive system disease	marker/mechanism		18779383|22310181
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ALDH1L2	160428	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ALDH9A1	223	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ALDOB	229	Digestive system disease	Digestive system disease	marker/mechanism		16115720
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	AMBP	259	Digestive system disease	Digestive system disease	marker/mechanism		18779383
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ANXA2	302	Digestive system disease	Digestive system disease	marker/mechanism		25226513
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ANXA6	309	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	APOA1	335	Digestive system disease	Digestive system disease	marker/mechanism		16099942
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	APOE	348	Digestive system disease	Digestive system disease	marker/mechanism		16099942
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	APOH	350	Digestive system disease	Digestive system disease	marker/mechanism		16099942
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ARG1	383	Digestive system disease	Digestive system disease	marker/mechanism		22872058
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ARNT	405	Digestive system disease	Digestive system disease	marker/mechanism		20935161
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ATG5	9474	Digestive system disease	Digestive system disease	marker/mechanism		22491424
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ATOH8	84913	Digestive system disease	Digestive system disease	marker/mechanism		25226513
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	ATP6V1D	51382	Digestive system disease	Digestive system disease	marker/mechanism		25226513
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	BAX	581	Digestive system disease	Digestive system disease	marker/mechanism		17906064
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	BDH1	622	Digestive system disease	Digestive system disease	marker/mechanism		25226513
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	BDKRB2	624	Digestive system disease	Digestive system disease	marker/mechanism		30685357
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	BLVRB	645	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	BPNT1	10380	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	BRD4	23476	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	BTD	686	Digestive system disease	Digestive system disease	marker/mechanism		15469856
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	C3	718	Digestive system disease	Digestive system disease	marker/mechanism		16099942
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CA3	761	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CADPS2	93664	Digestive system disease	Digestive system disease	marker/mechanism		26881866
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CANX	821	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CAP1	10487	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CAR3	12350	Digestive system disease	Digestive system disease	marker/mechanism		25226513
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CAT	847	Digestive system disease	Digestive system disease	marker/mechanism		20623750|25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CCDC80	151887	Digestive system disease	Digestive system disease	marker/mechanism		25226513
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CCL2	6347	Digestive system disease	Digestive system disease	marker/mechanism		20623750
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CCR2	729230	Digestive system disease	Digestive system disease	marker/mechanism		20623750
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CCT3	7203	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CCT5	22948	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CDC25B	994	Digestive system disease	Digestive system disease	marker/mechanism		25226513
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CDS1	1040	Digestive system disease	Digestive system disease	marker/mechanism		25226513
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CELA1	1990	Digestive system disease	Digestive system disease	marker/mechanism		25226513
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CFAP20	29105	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CFH	3075	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CHRM3	1131	Digestive system disease	Digestive system disease	marker/mechanism		20197374
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CKB	1152	Digestive system disease	Digestive system disease	marker/mechanism		25231249
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	CLU	1191	Digestive system disease	Digestive system disease	marker/mechanism		20623750
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	COL14A1	7373	Digestive system disease	Digestive system disease	marker/mechanism		25226513
d008107	Chemical and Drug Induced Liver Injury	MESH:D056486	COL3A1	1281	Digestive system disease	Digestive system disease	marker/mechanism		16679477
