# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d008107	Carcinoma, Hepatocellular	MESH:D006528	APC	324	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism	114550	
d008107	Carcinoma, Hepatocellular	MESH:D006528	APCS	325	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		19363144
d008107	Carcinoma, Hepatocellular	MESH:D006528	APEX1	328	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		25109342
d008107	Carcinoma, Hepatocellular	MESH:D006528	APLN	8862	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	APOA1	335	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	APOF	319	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	AR	367	Cancer|Digestive system disease	Cancer|Digestive system disease	therapeutic		18639551
d008107	Carcinoma, Hepatocellular	MESH:D006528	ARHGAP11A	9824	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ARHGEF39	84904	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ARID1A	8289	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		22561517|22634756|22922871
d008107	Carcinoma, Hepatocellular	MESH:D006528	ARID1B	57492	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		22634756
d008107	Carcinoma, Hepatocellular	MESH:D006528	ARID2	196528	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21822264|22634756
d008107	Carcinoma, Hepatocellular	MESH:D006528	ASF1B	55723	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ASPG	374569	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ASPM	259266	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ATG7	10533	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		29191453
d008107	Carcinoma, Hepatocellular	MESH:D006528	ATM	472	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		19919837
d008107	Carcinoma, Hepatocellular	MESH:D006528	ATP5PD	10476	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	AURKA	6790	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
